date	time	bid	ask	rpt_px	mid
20251216	084515	27735.00	27771.00	27788.00	27753.00
20251216	084530	27744.00	27767.00	0.00	27755.50
20251216	084545	27742.00	27777.00	0.00	27759.50
20251216	084600	27735.00	27767.00	0.00	27751.00
20251216	084615	27718.00	27751.00	0.00	27734.50
20251216	084630	27715.00	27748.00	0.00	27731.50
20251216	084645	27711.00	27744.00	0.00	27727.50
20251216	084700	27704.00	27727.00	0.00	27715.50
20251216	084715	27704.00	27726.00	0.00	27715.00
20251216	084730	27711.00	27734.00	0.00	27722.50
20251216	084745	27720.00	27743.00	0.00	27731.50
20251216	084800	27717.00	27739.00	0.00	27728.00
20251216	084815	27709.00	27731.00	0.00	27720.00
20251216	084830	27717.00	27738.00	0.00	27727.50
20251216	084845	27716.00	27737.00	0.00	27726.50
20251216	084900	27727.00	27749.00	0.00	27738.00
20251216	084915	27726.00	27748.00	0.00	27737.00
20251216	084930	27723.00	27735.00	0.00	27729.00
20251216	084945	27724.00	27731.00	0.00	27727.50
20251216	085000	27712.00	27720.00	0.00	27716.00
20251216	085015	27714.00	27724.00	0.00	27719.00
20251216	085030	27728.00	27738.00	0.00	27733.00
20251216	085045	27730.00	27740.00	0.00	27735.00
20251216	085100	27732.00	27742.00	0.00	27737.00
20251216	085115	27734.00	27744.00	0.00	27739.00
20251216	085130	27745.00	27754.00	0.00	27749.50
20251216	085145	27743.00	27752.00	0.00	27747.50
20251216	085200	27743.00	27753.00	0.00	27748.00
20251216	085215	27734.00	27744.00	0.00	27739.00
20251216	085230	27735.00	27746.00	0.00	27740.50
20251216	085245	27730.00	27740.00	0.00	27735.00
20251216	085300	27730.00	27740.00	0.00	27735.00
20251216	085315	27732.00	27741.00	0.00	27736.50
20251216	085330	27724.00	27734.00	0.00	27729.00
20251216	085345	27719.00	27728.00	0.00	27723.50
20251216	085400	27724.00	27731.00	0.00	27727.50
20251216	085415	27724.00	27730.00	0.00	27727.00
20251216	085430	27722.00	27728.00	0.00	27725.00
20251216	085445	27718.00	27722.00	0.00	27720.00
20251216	085500	27716.00	27724.00	0.00	27720.00
20251216	085515	27713.00	27717.00	0.00	27715.00
20251216	085530	27708.00	27713.00	27710.00	27710.50
20251216	085545	27715.00	27718.00	0.00	27716.50
20251216	085600	27715.00	27720.00	0.00	27717.50
20251216	085615	27709.00	27713.00	0.00	27711.00
20251216	085630	27707.00	27711.00	0.00	27709.00
20251216	085645	27705.00	27708.00	0.00	27706.50
20251216	085700	27709.00	27712.00	0.00	27710.50
20251216	085715	27716.00	27722.00	0.00	27719.00
20251216	085730	27725.00	27731.00	0.00	27728.00
20251216	085745	27720.00	27727.00	0.00	27723.50
20251216	085800	27721.00	27729.00	0.00	27725.00
20251216	085815	27713.00	27721.00	0.00	27717.00
20251216	085830	27716.00	27723.00	0.00	27719.50
20251216	085845	27710.00	27716.00	0.00	27713.00
20251216	085900	27705.00	27713.00	27710.00	27709.00
20251216	085915	27712.00	27720.00	0.00	27716.00
20251216	085930	27708.00	27714.00	0.00	27711.00
20251216	085945	27712.00	27719.00	0.00	27715.50
20251216	090000	27731.00	27740.00	0.00	27735.50
20251216	090015	27758.00	27768.00	0.00	27763.00
20251216	090030	27753.00	27762.00	0.00	27757.50
20251216	090045	27730.00	27738.00	0.00	27734.00
20251216	090100	27742.00	27750.00	0.00	27746.00
20251216	090115	27738.00	27746.00	0.00	27742.00
20251216	090130	27733.00	27740.00	0.00	27736.50
20251216	090145	27739.00	27747.00	0.00	27743.00
20251216	090200	27758.00	27767.00	0.00	27762.50
20251216	090215	27762.00	27770.00	0.00	27766.00
20251216	090230	27773.00	27783.00	0.00	27778.00
20251216	090245	27765.00	27773.00	0.00	27769.00
20251216	090300	27778.00	27786.00	0.00	27782.00
20251216	090315	27766.00	27775.00	0.00	27770.50
20251216	090330	27781.00	27790.00	0.00	27785.50
20251216	090345	27792.00	27799.00	27790.00	27795.50
20251216	090400	27789.00	27797.00	0.00	27793.00
20251216	090415	27787.00	27794.00	0.00	27790.50
20251216	090430	27788.00	27795.00	0.00	27791.50
20251216	090445	27787.00	27793.00	0.00	27790.00
20251216	090500	27787.00	27793.00	0.00	27790.00
20251216	090515	27785.00	27792.00	0.00	27788.50
20251216	090530	27785.00	27792.00	0.00	27788.50
20251216	090545	27787.00	27795.00	27789.00	27791.00
20251216	090600	27801.00	27809.00	0.00	27805.00
20251216	090615	27790.00	27797.00	0.00	27793.50
20251216	090630	27795.00	27804.00	0.00	27799.50
20251216	090645	27790.00	27797.00	0.00	27793.50
20251216	090700	27796.00	27803.00	0.00	27799.50
20251216	090715	27799.00	27807.00	0.00	27803.00
20251216	090730	27803.00	27811.00	0.00	27807.00
20251216	090745	27794.00	27800.00	0.00	27797.00
20251216	090800	27800.00	27808.00	0.00	27804.00
20251216	090815	27793.00	27800.00	0.00	27796.50
20251216	090830	27792.00	27799.00	0.00	27795.50
20251216	090845	27791.00	27801.00	27799.00	27796.00
20251216	090900	27796.00	27806.00	0.00	27801.00
20251216	090915	27787.00	27796.00	0.00	27791.50
20251216	090930	27786.00	27795.00	0.00	27790.50
20251216	090945	27788.00	27796.00	0.00	27792.00
20251216	091000	27794.00	27803.00	0.00	27798.50
20251216	091015	27793.00	27802.00	0.00	27797.50
20251216	091030	27788.00	27797.00	0.00	27792.50
20251216	091045	27791.00	27799.00	0.00	27795.00
20251216	091100	27792.00	27801.00	0.00	27796.50
20251216	091115	27810.00	27818.00	0.00	27814.00
20251216	091130	27819.00	27826.00	0.00	27822.50
20251216	091145	27810.00	27819.00	0.00	27814.50
20251216	091200	27796.00	27804.00	0.00	27800.00
20251216	091215	27796.00	27804.00	0.00	27800.00
20251216	091230	27794.00	27802.00	0.00	27798.00
20251216	091245	27801.00	27808.00	0.00	27804.50
20251216	091300	27804.00	27812.00	0.00	27808.00
20251216	091315	27808.00	27815.00	0.00	27811.50
20251216	091330	27806.00	27815.00	0.00	27810.50
20251216	091345	27803.00	27812.00	0.00	27807.50
20251216	091400	27795.00	27804.00	0.00	27799.50
20251216	091415	27797.00	27805.00	0.00	27801.00
20251216	091430	27797.00	27805.00	0.00	27801.00
20251216	091445	27789.00	27795.00	0.00	27792.00
20251216	091500	27777.00	27786.00	0.00	27781.50
20251216	091515	27778.00	27785.00	0.00	27781.50
20251216	091530	27785.00	27792.00	0.00	27788.50
20251216	091545	27791.00	27801.00	0.00	27796.00
20251216	091600	27798.00	27806.00	0.00	27802.00
20251216	091615	27793.00	27802.00	0.00	27797.50
20251216	091630	27787.00	27796.00	0.00	27791.50
20251216	091645	27778.00	27787.00	0.00	27782.50
20251216	091700	27778.00	27787.00	0.00	27782.50
20251216	091715	27774.00	27783.00	0.00	27778.50
20251216	091730	27781.00	27790.00	0.00	27785.50
20251216	091745	27778.00	27786.00	0.00	27782.00
20251216	091800	27778.00	27788.00	0.00	27783.00
20251216	091815	27761.00	27770.00	0.00	27765.50
20251216	091830	27769.00	27778.00	0.00	27773.50
20251216	091845	27760.00	27769.00	0.00	27764.50
20251216	091900	27757.00	27766.00	0.00	27761.50
20251216	091915	27761.00	27770.00	0.00	27765.50
20251216	091930	27761.00	27771.00	0.00	27766.00
20251216	091945	27768.00	27778.00	27763.00	27773.00
20251216	092000	27768.00	27778.00	0.00	27773.00
20251216	092015	27769.00	27779.00	0.00	27774.00
20251216	092030	27775.00	27786.00	0.00	27780.50
20251216	092045	27775.00	27785.00	0.00	27780.00
20251216	092100	27779.00	27788.00	0.00	27783.50
20251216	092115	27780.00	27789.00	0.00	27784.50
20251216	092130	27785.00	27795.00	0.00	27790.00
20251216	092145	27787.00	27797.00	0.00	27792.00
20251216	092200	27787.00	27795.00	0.00	27791.00
20251216	092215	27787.00	27797.00	0.00	27792.00
20251216	092230	27790.00	27800.00	0.00	27795.00
20251216	092245	27793.00	27801.00	0.00	27797.00
20251216	092300	27799.00	27808.00	0.00	27803.50
20251216	092315	27803.00	27812.00	0.00	27807.50
20251216	092330	27802.00	27810.00	0.00	27806.00
20251216	092345	27803.00	27812.00	0.00	27807.50
20251216	092400	27797.00	27805.00	0.00	27801.00
20251216	092415	27792.00	27801.00	0.00	27796.50
20251216	092430	27797.00	27806.00	0.00	27801.50
20251216	092445	27789.00	27798.00	0.00	27793.50
20251216	092500	27783.00	27793.00	0.00	27788.00
20251216	092515	27784.00	27794.00	0.00	27789.00
20251216	092530	27792.00	27800.00	0.00	27796.00
20251216	092545	27797.00	27806.00	27800.00	27801.50
20251216	092600	27796.00	27805.00	0.00	27800.50
20251216	092615	27791.00	27800.00	0.00	27795.50
20251216	092630	27787.00	27795.00	0.00	27791.00
20251216	092645	27771.00	27780.00	0.00	27775.50
20251216	092700	27765.00	27774.00	0.00	27769.50
20251216	092715	27761.00	27770.00	0.00	27765.50
20251216	092730	27768.00	27777.00	0.00	27772.50
20251216	092745	27781.00	27789.00	0.00	27785.00
20251216	092800	27767.00	27775.00	0.00	27771.00
20251216	092815	27775.00	27783.00	0.00	27779.00
20251216	092830	27773.00	27781.00	0.00	27777.00
20251216	092845	27776.00	27784.00	0.00	27780.00
20251216	092900	27779.00	27786.00	0.00	27782.50
20251216	092915	27776.00	27784.00	0.00	27780.00
20251216	092930	27770.00	27778.00	0.00	27774.00
