date	time	bid	ask	rpt_px	mid
20251217	084515	27714.00	27720.00	27715.00	27717.00
20251217	084530	27724.00	27729.00	27724.00	27726.50
20251217	084545	27738.00	27742.00	27741.00	27740.00
20251217	084600	27740.00	27743.00	27743.00	27741.50
20251217	084615	27740.00	27745.00	27742.00	27742.50
20251217	084630	27757.00	27760.00	27760.00	27758.50
20251217	084645	27765.00	27768.00	27765.00	27766.50
20251217	084700	27764.00	27768.00	27766.00	27766.00
20251217	084715	27760.00	27762.00	27761.00	27761.00
20251217	084730	27752.00	27753.00	27751.00	27752.50
20251217	084745	27754.00	27758.00	27754.00	27756.00
20251217	084800	27760.00	27762.00	27759.00	27761.00
20251217	084815	27755.00	27759.00	27757.00	27757.00
20251217	084830	27750.00	27752.00	27751.00	27751.00
20251217	084845	27741.00	27744.00	27741.00	27742.50
20251217	084900	27745.00	27748.00	27746.00	27746.50
20251217	084915	27736.00	27739.00	27736.00	27737.50
20251217	084930	27738.00	27740.00	27738.00	27739.00
20251217	084945	27740.00	27742.00	27743.00	27741.00
20251217	085000	27739.00	27741.00	27740.00	27740.00
20251217	085015	27739.00	27741.00	27740.00	27740.00
20251217	085030	27742.00	27744.00	27743.00	27743.00
20251217	085045	27737.00	27739.00	27738.00	27738.00
20251217	085100	27731.00	27732.00	27733.00	27731.50
20251217	085115	27735.00	27738.00	27735.00	27736.50
20251217	085130	27735.00	27738.00	27738.00	27736.50
20251217	085145	27729.00	27732.00	27729.00	27730.50
20251217	085200	27730.00	27732.00	27732.00	27731.00
20251217	085215	27741.00	27744.00	27740.00	27742.50
20251217	085230	27727.00	27730.00	27728.00	27728.50
20251217	085245	27730.00	27733.00	27732.00	27731.50
20251217	085300	27736.00	27739.00	27736.00	27737.50
20251217	085315	27745.00	27747.00	27743.00	27746.00
20251217	085330	27746.00	27748.00	27748.00	27747.00
20251217	085345	27742.00	27745.00	27742.00	27743.50
20251217	085400	27739.00	27742.00	27740.00	27740.50
20251217	085415	27737.00	27740.00	27738.00	27738.50
20251217	085430	27738.00	27741.00	27740.00	27739.50
20251217	085445	27739.00	27742.00	27738.00	27740.50
20251217	085500	27745.00	27748.00	27743.00	27746.50
20251217	085515	27744.00	27747.00	27743.00	27745.50
20251217	085530	27738.00	27740.00	27739.00	27739.00
20251217	085545	27734.00	27736.00	27735.00	27735.00
20251217	085600	27727.00	27730.00	27727.00	27728.50
20251217	085615	27732.00	27734.00	27733.00	27733.00
20251217	085630	27734.00	27736.00	27734.00	27735.00
20251217	085645	27732.00	27735.00	27734.00	27733.50
20251217	085700	27736.00	27738.00	27738.00	27737.00
20251217	085715	27737.00	27741.00	27739.00	27739.00
20251217	085730	27740.00	27744.00	27743.00	27742.00
20251217	085745	27736.00	27739.00	27738.00	27737.50
20251217	085800	27737.00	27740.00	27737.00	27738.50
20251217	085815	27740.00	27742.00	27742.00	27741.00
20251217	085830	27741.00	27744.00	27743.00	27742.50
20251217	085845	27742.00	27745.00	27744.00	27743.50
20251217	085900	27742.00	27744.00	27743.00	27743.00
20251217	085915	27745.00	27747.00	27746.00	27746.00
20251217	085930	27750.00	27751.00	27749.00	27750.50
20251217	085945	27750.00	27752.00	27750.00	27751.00
20251217	090000	27732.00	27735.00	27733.00	27733.50
20251217	090015	27753.00	27756.00	27752.00	27754.50
20251217	090030	27753.00	27756.00	27755.00	27754.50
20251217	090045	27759.00	27761.00	27760.00	27760.00
20251217	090100	27760.00	27762.00	27761.00	27761.00
20251217	090115	27761.00	27764.00	27762.00	27762.50
20251217	090130	27765.00	27768.00	27766.00	27766.50
20251217	090145	27773.00	27776.00	27776.00	27774.50
20251217	090200	27773.00	27776.00	27774.00	27774.50
20251217	090215	27759.00	27762.00	27761.00	27760.50
20251217	090230	27769.00	27771.00	27770.00	27770.00
20251217	090245	27771.00	27774.00	27772.00	27772.50
20251217	090300	27774.00	27776.00	27776.00	27775.00
20251217	090315	27771.00	27773.00	27772.00	27772.00
20251217	090330	27772.00	27775.00	27774.00	27773.50
20251217	090345	27788.00	27790.00	27787.00	27789.00
20251217	090400	27790.00	27794.00	27791.00	27792.00
20251217	090415	27800.00	27802.00	27802.00	27801.00
20251217	090430	27810.00	27811.00	27811.00	27810.50
20251217	090445	27814.00	27817.00	27817.00	27815.50
20251217	090500	27814.00	27817.00	27815.00	27815.50
20251217	090515	27813.00	27816.00	27814.00	27814.50
20251217	090530	27808.00	27810.00	27809.00	27809.00
20251217	090545	27812.00	27814.00	27812.00	27813.00
20251217	090600	27814.00	27816.00	27815.00	27815.00
20251217	090615	27808.00	27810.00	27809.00	27809.00
20251217	090630	27804.00	27806.00	27802.00	27805.00
20251217	090645	27794.00	27796.00	27797.00	27795.00
20251217	090700	27790.00	27793.00	27793.00	27791.50
20251217	090715	27776.00	27779.00	27778.00	27777.50
20251217	090730	27781.00	27784.00	27784.00	27782.50
20251217	090745	27782.00	27785.00	27784.00	27783.50
20251217	090800	27780.00	27783.00	27782.00	27781.50
20251217	090815	27786.00	27789.00	27788.00	27787.50
20251217	090830	27790.00	27793.00	27795.00	27791.50
20251217	090845	27794.00	27797.00	27798.00	27795.50
20251217	090900	27795.00	27798.00	27796.00	27796.50
20251217	090915	27795.00	27797.00	27795.00	27796.00
20251217	090930	27790.00	27793.00	27792.00	27791.50
20251217	090945	27790.00	27792.00	27789.00	27791.00
20251217	091000	27781.00	27784.00	27784.00	27782.50
20251217	091015	27779.00	27781.00	27779.00	27780.00
20251217	091030	27781.00	27784.00	27781.00	27782.50
20251217	091045	27780.00	27782.00	27780.00	27781.00
20251217	091100	27766.00	27769.00	27769.00	27767.50
20251217	091115	27769.00	27772.00	27771.00	27770.50
20251217	091130	27768.00	27770.00	27770.00	27769.00
20251217	091145	27769.00	27772.00	27770.00	27770.50
20251217	091200	27766.00	27768.00	27765.00	27767.00
20251217	091215	27766.00	27769.00	27767.00	27767.50
20251217	091230	27773.00	27776.00	27775.00	27774.50
20251217	091245	27777.00	27780.00	27779.00	27778.50
20251217	091300	27778.00	27781.00	27780.00	27779.50
20251217	091315	27772.00	27773.00	27774.00	27772.50
20251217	091330	27768.00	27771.00	27770.00	27769.50
20251217	091345	27758.00	27761.00	27760.00	27759.50
20251217	091400	27766.00	27768.00	27765.00	27767.00
20251217	091415	27765.00	27768.00	27768.00	27766.50
20251217	091430	27767.00	27769.00	27770.00	27768.00
20251217	091445	27757.00	27760.00	27758.00	27758.50
20251217	091500	27762.00	27765.00	27762.00	27763.50
20251217	091515	27754.00	27757.00	27753.00	27755.50
20251217	091530	27745.00	27749.00	27747.00	27747.00
20251217	091545	27742.00	27745.00	27743.00	27743.50
20251217	091600	27732.00	27734.00	27732.00	27733.00
20251217	091615	27737.00	27739.00	27739.00	27738.00
20251217	091630	27733.00	27735.00	27733.00	27734.00
20251217	091645	27732.00	27735.00	27733.00	27733.50
20251217	091700	27738.00	27740.00	27739.00	27739.00
20251217	091715	27744.00	27748.00	27746.00	27746.00
20251217	091730	27739.00	27742.00	27741.00	27740.50
20251217	091745	27738.00	27741.00	27739.00	27739.50
20251217	091800	27732.00	27735.00	27733.00	27733.50
20251217	091815	27728.00	27731.00	27730.00	27729.50
20251217	091830	27728.00	27731.00	27728.00	27729.50
20251217	091845	27735.00	27738.00	27738.00	27736.50
20251217	091900	27735.00	27738.00	27738.00	27736.50
