date	time	bid	ask	rpt_px	mid
20251211	084515	28577.00	28581.00	28577.00	28579.00
20251211	084530	28573.00	28578.00	28574.00	28575.50
20251211	084545	28572.00	28575.00	28576.00	28573.50
20251211	084600	28563.00	28565.00	28565.00	28564.00
20251211	084615	28540.00	28543.00	28543.00	28541.50
20251211	084630	28550.00	28553.00	28553.00	28551.50
20251211	084645	28557.00	28559.00	28557.00	28558.00
20251211	084700	28553.00	28556.00	28556.00	28554.50
20251211	084715	28550.00	28554.00	28554.00	28552.00
20251211	084730	28550.00	28552.00	28551.00	28551.00
20251211	084745	28545.00	28548.00	28545.00	28546.50
20251211	084800	28545.00	28547.00	28545.00	28546.00
20251211	084815	28551.00	28553.00	28552.00	28552.00
20251211	084830	28551.00	28553.00	28553.00	28552.00
20251211	084845	28542.00	28544.00	28545.00	28543.00
20251211	084900	28535.00	28538.00	28535.00	28536.50
20251211	084915	28533.00	28536.00	28535.00	28534.50
20251211	084930	28531.00	28534.00	28533.00	28532.50
20251211	084945	28538.00	28540.00	28539.00	28539.00
20251211	085000	28538.00	28541.00	28540.00	28539.50
20251211	085015	28530.00	28531.00	28529.00	28530.50
20251211	085030	28521.00	28523.00	28524.00	28522.00
20251211	085045	28529.00	28532.00	28532.00	28530.50
20251211	085100	28526.00	28528.00	28527.00	28527.00
20251211	085115	28518.00	28520.00	28519.00	28519.00
20251211	085130	28532.00	28534.00	28532.00	28533.00
20251211	085145	28532.00	28533.00	28533.00	28532.50
20251211	085200	28533.00	28536.00	28537.00	28534.50
20251211	085215	28529.00	28531.00	28531.00	28530.00
20251211	085230	28521.00	28525.00	28524.00	28523.00
20251211	085245	28527.00	28529.00	28529.00	28528.00
20251211	085300	28531.00	28534.00	28531.00	28532.50
20251211	085315	28531.00	28533.00	28532.00	28532.00
20251211	085330	28545.00	28548.00	28547.00	28546.50
20251211	085345	28545.00	28547.00	28547.00	28546.00
20251211	085400	28545.00	28548.00	28547.00	28546.50
20251211	085415	28543.00	28545.00	28543.00	28544.00
20251211	085430	28546.00	28548.00	28548.00	28547.00
20251211	085445	28546.00	28548.00	28547.00	28547.00
20251211	085500	28551.00	28553.00	28554.00	28552.00
20251211	085515	28547.00	28549.00	28549.00	28548.00
20251211	085530	28532.00	28534.00	28534.00	28533.00
20251211	085545	28534.00	28537.00	28535.00	28535.50
20251211	085600	28532.00	28535.00	28535.00	28533.50
20251211	085615	28537.00	28539.00	28539.00	28538.00
