date	time	bid	ask	rpt_px	mid
20251211	084515	28606.00	28612.00	28611.00	28609.00
20251211	084530	28601.00	28609.00	28603.00	28605.00
20251211	084545	28599.00	28606.00	28607.00	28602.50
20251211	084600	28591.00	28596.00	28596.00	28593.50
20251211	084615	28568.00	28575.00	28571.00	28571.50
20251211	084630	28578.00	28584.00	28582.00	28581.00
20251211	084645	28586.00	28590.00	28586.00	28588.00
20251211	084700	28582.00	28586.00	28586.00	28584.00
20251211	084715	28579.00	28585.00	28582.00	28582.00
20251211	084730	28579.00	28581.00	28580.00	28580.00
20251211	084745	28574.00	28579.00	28579.00	28576.50
20251211	084800	28574.00	28578.00	28576.00	28576.00
20251211	084815	28580.00	28584.00	28576.00	28582.00
20251211	084830	28580.00	28584.00	28582.00	28582.00
20251211	084845	28571.00	28575.00	28574.00	28573.00
20251211	084900	28564.00	28569.00	28568.00	28566.50
20251211	084915	28562.00	28568.00	28557.00	28565.00
20251211	084930	28560.00	28566.00	28568.00	28563.00
20251211	084945	28567.00	28572.00	28560.00	28569.50
20251211	085000	28567.00	28573.00	28573.00	28570.00
20251211	085015	28560.00	28563.00	28561.00	28561.50
20251211	085030	28550.00	28555.00	28555.00	28552.50
20251211	085045	28558.00	28564.00	28555.00	28561.00
20251211	085100	28556.00	28560.00	28560.00	28558.00
20251211	085115	28548.00	28552.00	28550.00	28550.00
20251211	085130	28561.00	28566.00	28559.00	28563.50
20251211	085145	28561.00	28565.00	28564.00	28563.00
20251211	085200	28562.00	28568.00	28565.00	28565.00
20251211	085215	28560.00	28563.00	28561.00	28561.50
20251211	085230	28552.00	28557.00	28554.00	28554.50
20251211	085245	28557.00	28561.00	0.00	28559.00
20251211	085300	28562.00	28566.00	28562.00	28564.00
20251211	085315	28561.00	28565.00	0.00	28563.00
20251211	085330	28575.00	28580.00	28574.00	28577.50
20251211	085345	28576.00	28579.00	0.00	28577.50
20251211	085400	28576.00	28579.00	28576.00	28577.50
20251211	085415	28573.00	28576.00	28574.00	28574.50
