date	time	nearT	nearW	nearSigma2	nearType	nextT	nextW	nextSigma2	nextType	vix	ori_vix	near_contrib_rows	next_contrib_rows
20251229	084515	0.0635554604	0.7938710017	0.0399590130	0	0.1539664193	0.2061289983	0.0319596344	0	-1.00	19.2016120175	107	107
20251229	084530	0.0635549848	0.7938657407	0.0391895390	0	0.1539659437	0.2061342593	0.0341617427	0	-1.00	19.2997663888	107	107
20251229	084545	0.0635545091	0.7938604798	0.0318084275	0	0.1539654680	0.2061395202	0.0347328074	0	-1.00	18.1487402399	107	107
20251229	084600	0.0635540335	0.7938552189	0.0322469799	0	0.1539649924	0.2061447811	0.0343389206	0	-1.00	18.1809794016	107	107
20251229	084615	0.0635535578	0.7938499579	0.0318219660	0	0.1539645167	0.2061500421	0.0347683321	0	-1.00	18.1548221407	107	107
20251229	084630	0.0635530822	0.7938446970	0.0321315288	0	0.1539640411	0.2061553030	0.0348196052	0	-1.00	18.2125231007	107	107
20251229	084645	0.0635526065	0.7938394360	0.0322170943	0	0.1539635654	0.2061605640	0.0350372474	0	-1.00	18.2499847943	107	107
20251229	084700	0.0635521309	0.7938341751	0.0321640700	0	0.1539630898	0.2061658249	0.0348910979	0	-1.00	18.2255947237	107	107
20251229	084715	0.0635516553	0.7938289141	0.0321810923	0	0.1539626142	0.2061710859	0.0348352314	0	-1.00	18.2225482398	107	107
20251229	084730	0.0635511796	0.7938236532	0.0276961778	0	0.1539621385	0.2061763468	0.0345833408	0	-1.00	17.4229946811	107	107
20251229	084745	0.0635507040	0.7938183923	0.0276752258	0	0.1539616629	0.2061816077	0.0349257471	0	-1.00	17.4572386319	107	107
20251229	084800	0.0635502283	0.7938131313	0.0276445775	0	0.1539611872	0.2061868687	0.0350811394	0	-1.00	17.4690545389	107	107
20251229	084815	0.0635497527	0.7938078704	0.0278617847	0	0.1539607116	0.2061921296	0.0352194428	0	-1.00	17.5224378297	107	107
20251229	084830	0.0635492770	0.7938026094	0.0278128416	0	0.1539602359	0.2061973906	0.0353499925	0	-1.00	17.5282719037	107	107
20251229	084845	0.0635488014	0.7937973485	0.0279667739	0	0.1539597603	0.2062026515	0.0352311023	0	-1.00	17.5421350971	107	107
20251229	084900	0.0635483257	0.7937920875	0.0280033308	0	0.1539592846	0.2062079125	0.0354710709	0	-1.00	17.5749368599	107	107
20251229	084915	0.0635478501	0.7937868266	0.0280042158	0	0.1539588090	0.2062131734	0.0357610736	0	-1.00	17.6069498089	107	107
20251229	084930	0.0635473744	0.7937815657	0.0280603325	0	0.1539583333	0.2062184343	0.0360078581	0	-1.00	17.6437816834	107	107
20251229	084945	0.0635468988	0.7937763047	0.0280394300	0	0.1539578577	0.2062236953	0.0361830796	0	-1.00	17.6593403192	107	107
20251229	085000	0.0635464231	0.7937710438	0.0279391939	0	0.1539573820	0.2062289562	0.0364857651	0	-1.00	17.6750423031	107	107
