date	time	bid	ask	rpt_px	mid
20251215	084515	27850.00	27854.00	27851.00	27852.00
20251215	084530	27838.00	27844.00	27833.00	27841.00
20251215	084545	27865.00	27872.00	27871.00	27868.50
20251215	084600	27861.00	27864.00	27865.00	27862.50
20251215	084615	27864.00	27869.00	27869.00	27866.50
20251215	084630	27876.00	27879.00	27881.00	27877.50
20251215	084645	27876.00	27879.00	27877.00	27877.50
20251215	084700	27874.00	27879.00	27877.00	27876.50
20251215	084715	27881.00	27886.00	27886.00	27883.50
20251215	084730	27881.00	27886.00	27885.00	27883.50
20251215	084745	27890.00	27893.00	27890.00	27891.50
20251215	084800	27901.00	27903.00	27899.00	27902.00
20251215	084815	27904.00	27908.00	27906.00	27906.00
20251215	084830	27906.00	27910.00	27911.00	27908.00
20251215	084845	27903.00	27904.00	27904.00	27903.50
20251215	084900	27901.00	27905.00	27901.00	27903.00
20251215	084915	27899.00	27902.00	27902.00	27900.50
20251215	084930	27898.00	27901.00	27900.00	27899.50
20251215	084945	27890.00	27893.00	27894.00	27891.50
20251215	085000	27888.00	27892.00	27895.00	27890.00
20251215	085015	27877.00	27880.00	27876.00	27878.50
20251215	085030	27864.00	27866.00	27864.00	27865.00
20251215	085045	27873.00	27876.00	27875.00	27874.50
20251215	085100	27874.00	27878.00	27876.00	27876.00
20251215	085115	27869.00	27872.00	27870.00	27870.50
20251215	085130	27866.00	27869.00	27867.00	27867.50
20251215	085145	27868.00	27871.00	27866.00	27869.50
20251215	085200	27872.00	27874.00	27872.00	27873.00
20251215	085215	27873.00	27876.00	27875.00	27874.50
20251215	085230	27867.00	27870.00	27870.00	27868.50
20251215	085245	27872.00	27875.00	27875.00	27873.50
20251215	085300	27875.00	27878.00	27876.00	27876.50
20251215	085315	27878.00	27882.00	27881.00	27880.00
20251215	085330	27880.00	27883.00	27880.00	27881.50
20251215	085345	27884.00	27886.00	27884.00	27885.00
20251215	085400	27892.00	27895.00	27889.00	27893.50
20251215	085415	27893.00	27896.00	27892.00	27894.50
20251215	085430	27882.00	27886.00	27886.00	27884.00
20251215	085445	27874.00	27877.00	27876.00	27875.50
20251215	085500	27872.00	27875.00	27875.00	27873.50
20251215	085515	27883.00	27886.00	27885.00	27884.50
20251215	085530	27874.00	27878.00	27877.00	27876.00
20251215	085545	27873.00	27876.00	27876.00	27874.50
20251215	085600	27874.00	27877.00	27880.00	27875.50
20251215	085615	27871.00	27875.00	27874.00	27873.00
20251215	085630	27872.00	27873.00	27872.00	27872.50
20251215	085645	27866.00	27867.00	27866.00	27866.50
20251215	085700	27867.00	27870.00	27870.00	27868.50
20251215	085715	27868.00	27870.00	27869.00	27869.00
20251215	085730	27861.00	27864.00	27863.00	27862.50
20251215	085745	27867.00	27870.00	27868.00	27868.50
20251215	085800	27869.00	27871.00	27870.00	27870.00
20251215	085815	27874.00	27876.00	27873.00	27875.00
20251215	085830	27871.00	27874.00	27871.00	27872.50
20251215	085845	27871.00	27874.00	27871.00	27872.50
20251215	085900	27863.00	27866.00	27860.00	27864.50
20251215	085915	27857.00	27859.00	27858.00	27858.00
20251215	085930	27857.00	27859.00	27858.00	27858.00
20251215	085945	27857.00	27859.00	27857.00	27858.00
20251215	090000	27852.00	27855.00	27854.00	27853.50
20251215	090015	27862.00	27865.00	27865.00	27863.50
20251215	090030	27838.00	27840.00	27840.00	27839.00
20251215	090045	27847.00	27849.00	27848.00	27848.00
20251215	090100	27839.00	27843.00	27841.00	27841.00
20251215	090115	27840.00	27841.00	27843.00	27840.50
20251215	090130	27825.00	27827.00	27827.00	27826.00
20251215	090145	27834.00	27837.00	27834.00	27835.50
20251215	090200	27837.00	27839.00	27838.00	27838.00
20251215	090215	27859.00	27863.00	27862.00	27861.00
20251215	090230	27866.00	27869.00	27867.00	27867.50
20251215	090245	27871.00	27873.00	27872.00	27872.00
20251215	090300	27859.00	27861.00	27860.00	27860.00
20251215	090315	27868.00	27870.00	27870.00	27869.00
20251215	090330	27864.00	27867.00	27867.00	27865.50
20251215	090345	27854.00	27857.00	27851.00	27855.50
20251215	090400	27852.00	27855.00	27852.00	27853.50
20251215	090415	27843.00	27845.00	27842.00	27844.00
20251215	090430	27838.00	27840.00	27840.00	27839.00
20251215	090445	27837.00	27841.00	27839.00	27839.00
20251215	090500	27852.00	27854.00	27853.00	27853.00
20251215	090515	27842.00	27845.00	27842.00	27843.50
20251215	090530	27860.00	27863.00	27862.00	27861.50
20251215	090545	27864.00	27867.00	27867.00	27865.50
20251215	090600	27849.00	27852.00	27846.00	27850.50
20251215	090615	27850.00	27853.00	27851.00	27851.50
20251215	090630	27861.00	27864.00	27864.00	27862.50
20251215	090645	27860.00	27863.00	27864.00	27861.50
20251215	090700	27865.00	27868.00	27868.00	27866.50
20251215	090715	27857.00	27860.00	27860.00	27858.50
20251215	090730	27865.00	27866.00	27866.00	27865.50
20251215	090745	27860.00	27862.00	27858.00	27861.00
20251215	090800	27866.00	27868.00	27869.00	27867.00
20251215	090815	27869.00	27871.00	27872.00	27870.00
20251215	090830	27875.00	27878.00	27878.00	27876.50
20251215	090845	27875.00	27878.00	27879.00	27876.50
20251215	090900	27875.00	27878.00	27877.00	27876.50
20251215	090915	27876.00	27879.00	27875.00	27877.50
20251215	090930	27877.00	27878.00	27881.00	27877.50
20251215	090945	27878.00	27880.00	27876.00	27879.00
20251215	091000	27880.00	27883.00	27880.00	27881.50
20251215	091015	27881.00	27883.00	27876.00	27882.00
20251215	091030	27887.00	27889.00	27888.00	27888.00
20251215	091045	27888.00	27890.00	27888.00	27889.00
20251215	091100	27891.00	27894.00	27894.00	27892.50
20251215	091115	27894.00	27897.00	27898.00	27895.50
20251215	091130	27896.00	27899.00	27898.00	27897.50
20251215	091145	27889.00	27892.00	27891.00	27890.50
20251215	091200	27884.00	27887.00	27885.00	27885.50
20251215	091215	27902.00	27905.00	27904.00	27903.50
20251215	091230	27903.00	27905.00	27905.00	27904.00
20251215	091245	27905.00	27908.00	27905.00	27906.50
20251215	091300	27909.00	27912.00	27913.00	27910.50
20251215	091315	27919.00	27922.00	27919.00	27920.50
20251215	091330	27931.00	27933.00	27930.00	27932.00
20251215	091345	27933.00	27935.00	27933.00	27934.00
20251215	091400	27932.00	27935.00	27929.00	27933.50
20251215	091415	27929.00	27933.00	27930.00	27931.00
20251215	091430	27927.00	27930.00	27929.00	27928.50
20251215	091445	27936.00	27938.00	27938.00	27937.00
20251215	091500	27943.00	27946.00	27944.00	27944.50
20251215	091515	27945.00	27948.00	27946.00	27946.50
20251215	091530	27940.00	27943.00	27939.00	27941.50
20251215	091545	27951.00	27954.00	27949.00	27952.50
20251215	091600	27957.00	27959.00	27957.00	27958.00
20251215	091615	27963.00	27967.00	27965.00	27965.00
20251215	091630	27955.00	27957.00	27958.00	27956.00
20251215	091645	27951.00	27954.00	27951.00	27952.50
20251215	091700	27942.00	27944.00	27943.00	27943.00
20251215	091715	27937.00	27940.00	27938.00	27938.50
20251215	091730	27933.00	27936.00	27934.00	27934.50
20251215	091745	27930.00	27933.00	27936.00	27931.50
20251215	091800	27934.00	27937.00	27935.00	27935.50
20251215	091815	27932.00	27934.00	27933.00	27933.00
20251215	091830	27932.00	27935.00	27930.00	27933.50
20251215	091845	27933.00	27937.00	27930.00	27935.00
20251215	091900	27925.00	27928.00	27925.00	27926.50
20251215	091915	27941.00	27943.00	27943.00	27942.00
20251215	091930	27949.00	27952.00	27950.00	27950.50
20251215	091945	27954.00	27956.00	27955.00	27955.00
20251215	092000	27955.00	27958.00	27957.00	27956.50
20251215	092015	27965.00	27968.00	27965.00	27966.50
20251215	092030	27964.00	27966.00	27965.00	27965.00
20251215	092045	27954.00	27956.00	27951.00	27955.00
20251215	092100	27948.00	27950.00	27945.00	27949.00
