date	time	bid	ask	rpt_px	mid
20251226	084515	28661.00	28669.00	28651.00	28665.00
20251226	084530	28652.00	28658.00	28653.00	28655.00
20251226	084545	28656.00	28663.00	0.00	28659.50
20251226	084600	28657.00	28660.00	28656.00	28658.50
20251226	084615	28651.00	28657.00	28660.00	28654.00
20251226	084630	28649.00	28654.00	0.00	28651.50
20251226	084645	28654.00	28659.00	0.00	28656.50
20251226	084700	28656.00	28660.00	28654.00	28658.00
20251226	084715	28660.00	28666.00	28660.00	28663.00
20251226	084730	28660.00	28667.00	0.00	28663.50
20251226	084745	28664.00	28669.00	0.00	28666.50
20251226	084800	28667.00	28672.00	28672.00	28669.50
20251226	084815	28667.00	28673.00	28673.00	28670.00
20251226	084830	28668.00	28674.00	28673.00	28671.00
20251226	084845	28674.00	28680.00	28673.00	28677.00
20251226	084900	28671.00	28676.00	0.00	28673.50
20251226	084915	28668.00	28673.00	28676.00	28670.50
20251226	084930	28664.00	28670.00	0.00	28667.00
20251226	084945	28664.00	28669.00	28666.00	28666.50
20251226	085000	28664.00	28668.00	0.00	28666.00
20251226	085015	28667.00	28673.00	0.00	28670.00
20251226	085030	28670.00	28673.00	28671.00	28671.50
20251226	085045	28667.00	28673.00	0.00	28670.00
20251226	085100	28669.00	28674.00	0.00	28671.50
20251226	085115	28671.00	28676.00	0.00	28673.50
20251226	085130	28677.00	28682.00	0.00	28679.50
20251226	085145	28675.00	28680.00	0.00	28677.50
20251226	085200	28680.00	28684.00	0.00	28682.00
20251226	085215	28682.00	28685.00	28684.00	28683.50
20251226	085230	28686.00	28691.00	28688.00	28688.50
20251226	085245	28685.00	28690.00	28686.00	28687.50
20251226	085300	28684.00	28689.00	28685.00	28686.50
20251226	085315	28683.00	28689.00	0.00	28686.00
20251226	085330	28685.00	28690.00	0.00	28687.50
20251226	085345	28685.00	28690.00	28685.00	28687.50
20251226	085400	28688.00	28692.00	28693.00	28690.00
20251226	085415	28689.00	28693.00	0.00	28691.00
20251226	085430	28686.00	28692.00	0.00	28689.00
20251226	085445	28687.00	28693.00	0.00	28690.00
20251226	085500	28687.00	28692.00	0.00	28689.50
20251226	085515	28682.00	28687.00	0.00	28684.50
20251226	085530	28683.00	28690.00	0.00	28686.50
20251226	085545	28689.00	28694.00	0.00	28691.50
20251226	085600	28691.00	28695.00	0.00	28693.00
20251226	085615	28692.00	28697.00	28695.00	28694.50
20251226	085630	28693.00	28697.00	28697.00	28695.00
20251226	085645	28687.00	28692.00	0.00	28689.50
20251226	085700	28686.00	28691.00	0.00	28688.50
20251226	085715	28687.00	28692.00	0.00	28689.50
20251226	085730	28688.00	28693.00	0.00	28690.50
20251226	085745	28689.00	28693.00	0.00	28691.00
20251226	085800	28688.00	28692.00	0.00	28690.00
20251226	085815	28685.00	28689.00	28688.00	28687.00
20251226	085830	28687.00	28692.00	0.00	28689.50
20251226	085845	28694.00	28700.00	28700.00	28697.00
20251226	085900	28692.00	28698.00	28692.00	28695.00
20251226	085915	28696.00	28702.00	0.00	28699.00
20251226	085930	28699.00	28704.00	0.00	28701.50
20251226	085945	28698.00	28704.00	0.00	28701.00
20251226	090000	28696.00	28702.00	28696.00	28699.00
20251226	090015	28728.00	28731.00	28713.00	28729.50
20251226	090030	28733.00	28738.00	28737.00	28735.50
20251226	090045	28733.00	28738.00	28729.00	28735.50
20251226	090100	28728.00	28732.00	0.00	28730.00
20251226	090115	28718.00	28724.00	28732.00	28721.00
20251226	090130	28712.00	28717.00	0.00	28714.50
20251226	090145	28710.00	28715.00	0.00	28712.50
