date	time	nearT	nearW	nearSigma2	nearType	nextT	nextW	nextSigma2	nextType	vix	ori_vix	near_contrib_rows	next_contrib_rows
20251230	084515	0.0608157344	0.7635679714	0.0349793559	0	0.1512266933	0.2364320286	0.0333816804	0	-1.00	18.5160308007	110	107
20251230	084530	0.0608152588	0.7635627104	0.0347905056	0	0.1512262177	0.2364372896	0.0363679659	0	-1.00	18.8352703669	110	107
20251230	084545	0.0608147831	0.7635574495	0.0345539096	0	0.1512257420	0.2364425505	0.0339535759	0	-1.00	18.5183001820	110	107
20251230	084600	0.0608143075	0.7635521886	0.0343402618	0	0.1512252664	0.2364478114	0.0338464347	0	-1.00	18.4730685622	110	107
20251230	084615	0.0608138318	0.7635469276	0.0341051104	0	0.1512247907	0.2364530724	0.0336385263	0	-1.00	18.4125291123	110	107
20251230	084630	0.0608133562	0.7635416667	0.0338801262	0	0.1512243151	0.2364583333	0.0338670451	0	-1.00	18.4050088649	110	107
20251230	084645	0.0608128805	0.7635364057	0.0338859600	0	0.1512238394	0.2364635943	0.0337898403	0	-1.00	18.3967772884	110	107
20251230	084700	0.0608124049	0.7635311448	0.0337591284	0	0.1512233638	0.2364688552	0.0339325937	0	-1.00	18.3941835595	110	107
20251230	084715	0.0608119292	0.7635258838	0.0335915930	0	0.1512228881	0.2364741162	0.0347640071	0	-1.00	18.4666432178	110	107
20251230	084730	0.0608114536	0.7635206229	0.0335089264	0	0.1512224125	0.2364793771	0.0347736550	0	-1.00	18.4551346913	110	107
20251230	084745	0.0608109779	0.7635153620	0.0334890842	0	0.1512219368	0.2364846380	0.0348227023	0	-1.00	18.4578822686	110	107
20251230	084800	0.0608105023	0.7635101010	0.0334454215	0	0.1512214612	0.2364898990	0.0344471102	0	-1.00	18.4068641622	110	107
20251230	084815	0.0608100266	0.7635048401	0.0330851418	0	0.1512209855	0.2364951599	0.0343135887	0	-1.00	18.3356646383	110	107
20251230	084830	0.0608095510	0.7634995791	0.0320747976	0	0.1512205099	0.2365004209	0.0344222465	0	-1.00	18.1923697542	110	107
20251230	084845	0.0608090753	0.7634943182	0.0319670587	0	0.1512200342	0.2365056818	0.0343840842	0	-1.00	18.1710724763	110	107
20251230	084900	0.0608085997	0.7634890572	0.0318962552	0	0.1512195586	0.2365109428	0.0344093937	0	-1.00	18.1631018370	110	107
20251230	084915	0.0608081240	0.7634837963	0.0319003583	0	0.1512190830	0.2365162037	0.0343583178	0	-1.00	18.1576264109	110	107
20251230	084930	0.0608076484	0.7634785354	0.0317741278	0	0.1512186073	0.2365214646	0.0343205763	0	-1.00	18.1334597675	110	107
20251230	084945	0.0608071728	0.7634732744	0.0309844272	0	0.1512181317	0.2365267256	0.0347415680	0	-1.00	18.0608443700	110	110
20251230	085000	0.0608066971	0.7634680135	0.0309773924	0	0.1512176560	0.2365319865	0.0348705010	0	-1.00	18.0752803948	110	110
20251230	085015	0.0608062215	0.7634627525	0.0310557348	0	0.1512171804	0.2365372475	0.0349121948	0	-1.00	18.0925404592	110	110
20251230	085030	0.0608057458	0.7634574916	0.0310984007	0	0.1512167047	0.2365425084	0.0349146325	0	-1.00	18.0995008274	110	110
20251230	085045	0.0608052702	0.7634522306	0.0309444448	0	0.1512162291	0.2365477694	0.0348511461	0	-1.00	18.0678280785	110	110
20251230	085100	0.0608047945	0.7634469697	0.0308876157	0	0.1512157534	0.2365530303	0.0349267555	0	-1.00	18.0680610107	110	110
20251230	085115	0.0608043189	0.7634417088	0.0307998695	0	0.1512152778	0.2365582912	0.0348965410	0	-1.00	18.0507088403	110	110
20251230	085130	0.0608038432	0.7634364478	0.0308077916	0	0.1512148021	0.2365635522	0.0349226416	0	-1.00	18.0551036611	110	110
20251230	085145	0.0608033676	0.7634311869	0.0307488976	0	0.1512143265	0.2365688131	0.0349964388	0	-1.00	18.0547967755	110	110
20251230	085200	0.0608028919	0.7634259259	0.0307303676	0	0.1512138508	0.2365740741	0.0350076731	0	-1.00	18.0532624847	110	110
20251230	085215	0.0608024163	0.7634206650	0.0307119687	0	0.1512133752	0.2365793350	0.0349937764	0	-1.00	18.0487187466	110	110
20251230	085230	0.0608019406	0.7634154040	0.0306803744	0	0.1512128995	0.2365845960	0.0349790957	0	-1.00	18.0420142617	110	110
20251230	085245	0.0608014650	0.7634101431	0.0307065034	0	0.1512124239	0.2365898569	0.0350387979	0	-1.00	18.0533115881	110	110
20251230	085300	0.0608009893	0.7634048822	0.0306864468	0	0.1512119482	0.2365951178	0.0349949986	0	-1.00	18.0449025135	110	110
20251230	085315	0.0608005137	0.7633996212	0.0306887885	0	0.1512114726	0.2366003788	0.0349892546	0	-1.00	18.0445860802	110	110
20251230	085330	0.0608000381	0.7633943603	0.0306889569	0	0.1512109970	0.2366056397	0.0350046207	0	-1.00	18.0464756022	110	110
20251230	085345	0.0607995624	0.7633890993	0.0306385063	0	0.1512105213	0.2366109007	0.0349638727	0	-1.00	18.0336732287	110	110
20251230	085400	0.0607990868	0.7633838384	0.0305618888	0	0.1512100457	0.2366161616	0.0349706084	0	-1.00	18.0224969845	110	110
20251230	085415	0.0607986111	0.7633785774	0.0305314609	0	0.1512095700	0.2366214226	0.0349592686	0	-1.00	18.0163697386	110	110
20251230	085430	0.0607981355	0.7633733165	0.0304977751	0	0.1512090944	0.2366266835	0.0349615696	0	-1.00	18.0113782869	110	110
20251230	085445	0.0607976598	0.7633680556	0.0304761701	0	0.1512086187	0.2366319444	0.0349338130	0	-1.00	18.0046463021	110	110
20251230	085500	0.0607971842	0.7633627946	0.0304207603	0	0.1512081431	0.2366372054	0.0349088952	0	-1.00	17.9929515518	110	110
20251230	085515	0.0607967085	0.7633575337	0.0304238850	0	0.1512076674	0.2366424663	0.0349515748	0	-1.00	17.9986146037	110	110
20251230	085530	0.0607962329	0.7633522727	0.0304613599	0	0.1512071918	0.2366477273	0.0348799195	0	-1.00	17.9958369071	110	110
20251230	085545	0.0607957572	0.7633470118	0.0304713015	0	0.1512067161	0.2366529882	0.0349117725	0	-1.00	18.0012589461	110	110
20251230	085600	0.0607952816	0.7633417508	0.0304723827	0	0.1512062405	0.2366582492	0.0348857955	0	-1.00	17.9982971434	110	110
20251230	085615	0.0607948059	0.7633364899	0.0304530648	0	0.1512057648	0.2366635101	0.0349000018	0	-1.00	17.9969954865	110	110
20251230	085630	0.0607943303	0.7633312290	0.0304562623	0	0.1512052892	0.2366687710	0.0349225720	0	-1.00	18.0002371614	110	110
20251230	085645	0.0607938546	0.7633259680	0.0304862749	0	0.1512048135	0.2366740320	0.0349385869	0	-1.00	18.0068900575	110	110
20251230	085700	0.0607933790	0.7633207071	0.0305156830	0	0.1512043379	0.2366792929	0.0349548319	0	-1.00	18.0134734944	110	110
20251230	085715	0.0607929033	0.7633154461	0.0303821446	0	0.1512038623	0.2366845539	0.0348282125	0	-1.00	17.9772171874	110	110
20251230	085730	0.0607924277	0.7633101852	0.0304432521	0	0.1512033866	0.2366898148	0.0348185659	0	-1.00	17.9856526746	110	110
20251230	085745	0.0607919521	0.7633049242	0.0304452370	0	0.1512029110	0.2366950758	0.0348222638	0	-1.00	17.9864219244	110	110
20251230	085800	0.0607914764	0.7632996633	0.0304431589	0	0.1512024353	0.2367003367	0.0348146577	0	-1.00	17.9851851619	110	110
20251230	085815	0.0607910008	0.7632944024	0.0304511306	0	0.1512019597	0.2367055976	0.0347955938	0	-1.00	17.9841385286	110	110
20251230	085830	0.0607905251	0.7632891414	0.0305013854	0	0.1512014840	0.2367108586	0.0347464629	0	-1.00	17.9860881058	110	110
20251230	085845	0.0607900495	0.7632838805	0.0304193463	0	0.1512010084	0.2367161195	0.0347944980	0	-1.00	17.9790365671	110	110
20251230	085900	0.0607895738	0.7632786195	0.0307965020	0	0.1512005327	0.2367213805	0.0348421818	0	-1.00	18.0439161851	110	110
20251230	085915	0.0607890982	0.7632733586	0.0308476031	0	0.1512000571	0.2367266414	0.0347974181	0	-1.00	18.0465172227	110	110
20251230	085930	0.0607886225	0.7632680976	0.0308513855	0	0.1511995814	0.2367319024	0.0347817167	0	-1.00	18.0452233530	110	110
