date	time	bid	ask	rpt_px	mid
20251230	084515	28845.00	28853.00	28850.00	28849.00
20251230	084530	28855.00	28857.00	28857.00	28856.00
20251230	084545	28865.00	28869.00	28865.00	28867.00
20251230	084600	28863.00	28868.00	28866.00	28865.50
20251230	084615	28868.00	28872.00	0.00	28870.00
20251230	084630	28868.00	28874.00	0.00	28871.00
20251230	084645	28863.00	28868.00	0.00	28865.50
20251230	084700	28862.00	28867.00	0.00	28864.50
20251230	084715	28860.00	28866.00	28862.00	28863.00
20251230	084730	28864.00	28870.00	0.00	28867.00
20251230	084745	28869.00	28874.00	28870.00	28871.50
20251230	084800	28871.00	28876.00	28870.00	28873.50
20251230	084815	28875.00	28881.00	0.00	28878.00
20251230	084830	28880.00	28886.00	28886.00	28883.00
20251230	084845	28876.00	28882.00	0.00	28879.00
20251230	084900	28875.00	28879.00	28881.00	28877.00
20251230	084915	28876.00	28882.00	28875.00	28879.00
20251230	084930	28877.00	28883.00	0.00	28880.00
20251230	084945	28877.00	28883.00	0.00	28880.00
20251230	085000	28871.00	28876.00	28876.00	28873.50
20251230	085015	28862.00	28868.00	0.00	28865.00
20251230	085030	28861.00	28867.00	0.00	28864.00
20251230	085045	28869.00	28875.00	0.00	28872.00
20251230	085100	28862.00	28868.00	28868.00	28865.00
20251230	085115	28867.00	28873.00	0.00	28870.00
20251230	085130	28863.00	28869.00	0.00	28866.00
20251230	085145	28869.00	28873.00	28868.00	28871.00
20251230	085200	28866.00	28871.00	0.00	28868.50
20251230	085215	28865.00	28869.00	0.00	28867.00
20251230	085230	28861.00	28865.00	28865.00	28863.00
20251230	085245	28858.00	28863.00	0.00	28860.50
20251230	085300	28858.00	28863.00	0.00	28860.50
20251230	085315	28859.00	28864.00	0.00	28861.50
20251230	085330	28857.00	28862.00	0.00	28859.50
20251230	085345	28863.00	28868.00	0.00	28865.50
20251230	085400	28864.00	28869.00	0.00	28866.50
20251230	085415	28864.00	28870.00	0.00	28867.00
20251230	085430	28863.00	28869.00	0.00	28866.00
20251230	085445	28866.00	28871.00	0.00	28868.50
20251230	085500	28868.00	28873.00	0.00	28870.50
20251230	085515	28867.00	28873.00	0.00	28870.00
20251230	085530	28866.00	28871.00	0.00	28868.50
20251230	085545	28865.00	28869.00	0.00	28867.00
20251230	085600	28864.00	28868.00	0.00	28866.00
20251230	085615	28866.00	28871.00	0.00	28868.50
20251230	085630	28863.00	28868.00	0.00	28865.50
20251230	085645	28860.00	28865.00	0.00	28862.50
20251230	085700	28862.00	28867.00	0.00	28864.50
20251230	085715	28862.00	28867.00	0.00	28864.50
20251230	085730	28862.00	28867.00	0.00	28864.50
20251230	085745	28862.00	28866.00	0.00	28864.00
20251230	085800	28860.00	28865.00	0.00	28862.50
20251230	085815	28860.00	28865.00	0.00	28862.50
20251230	085830	28852.00	28857.00	28860.00	28854.50
20251230	085845	28852.00	28858.00	0.00	28855.00
20251230	085900	28850.00	28855.00	0.00	28852.50
20251230	085915	28854.00	28861.00	0.00	28857.50
20251230	085930	28853.00	28858.00	0.00	28855.50
20251230	085945	28855.00	28861.00	0.00	28858.00
20251230	090000	28848.00	28853.00	28850.00	28850.50
20251230	090015	28864.00	28870.00	28855.00	28867.00
20251230	090030	28864.00	28870.00	0.00	28867.00
20251230	090045	28865.00	28871.00	0.00	28868.00
20251230	090100	28864.00	28869.00	0.00	28866.50
20251230	090115	28857.00	28863.00	0.00	28860.00
20251230	090130	28860.00	28866.00	0.00	28863.00
20251230	090145	28857.00	28861.00	0.00	28859.00
20251230	090200	28863.00	28867.00	0.00	28865.00
20251230	090215	28857.00	28863.00	0.00	28860.00
20251230	090230	28858.00	28863.00	0.00	28860.50
20251230	090245	28853.00	28858.00	0.00	28855.50
20251230	090300	28850.00	28855.00	0.00	28852.50
20251230	090315	28857.00	28863.00	28856.00	28860.00
20251230	090330	28849.00	28853.00	0.00	28851.00
20251230	090345	28851.00	28856.00	0.00	28853.50
20251230	090400	28854.00	28859.00	0.00	28856.50
20251230	090415	28845.00	28850.00	28848.00	28847.50
20251230	090430	28845.00	28850.00	0.00	28847.50
20251230	090445	28851.00	28855.00	0.00	28853.00
20251230	090500	28861.00	28864.00	0.00	28862.50
20251230	090515	28863.00	28869.00	28865.00	28866.00
20251230	090530	28864.00	28870.00	0.00	28867.00
