date	time	nearT	nearW	nearSigma2	nearType	nextT	nextW	nextSigma2	nextType	vix	ori_vix	near_contrib_rows	next_contrib_rows
20251212	084515	0.0142403919	0.2913640873	0.0412349734	0	0.1101308029	0.7086359127	0.0254103745	0	-1.00	16.1892615764	81	40
20251212	084530	0.0142399163	0.2913591270	0.0408924347	0	0.1101303272	0.7086408730	0.0430803579	0	-1.00	20.7291858240	81	105
20251212	084545	0.0142394406	0.2913541667	0.0408438112	0	0.1101298516	0.7086458333	0.0441888672	0	-1.00	20.9809489420	81	105
20251212	084600	0.0142389650	0.2913492063	0.0412424196	0	0.1101293760	0.7086507937	0.0447879671	0	-1.00	21.1208453153	83	105
20251212	084615	0.0142384893	0.2913442460	0.0407110634	0	0.1101289003	0.7086557540	0.0442265598	0	-1.00	20.9878844041	83	105
20251212	084630	0.0142380137	0.2913392857	0.0403499667	0	0.1101284247	0.7086607143	0.0443567008	0	-1.00	21.0129691179	83	105
20251212	084645	0.0142375381	0.2913343254	0.0396330536	0	0.1101279490	0.7086656746	0.0441878767	0	-1.00	20.9661663996	83	105
20251212	084700	0.0142370624	0.2913293651	0.0389616297	0	0.1101274734	0.7086706349	0.0444276274	0	-1.00	21.0123284652	83	105
20251212	084715	0.0142365868	0.2913244048	0.0387639269	0	0.1101269977	0.7086755952	0.0441916782	0	-1.00	20.9565716101	83	105
20251212	084730	0.0142361111	0.2913194444	0.0382797400	0	0.1101265221	0.7086805556	0.0440656335	0	-1.00	20.9221622368	83	105
20251212	084745	0.0142356355	0.2913144841	0.0260849256	0	0.1101260464	0.7086855159	0.0440536546	0	-1.00	20.7718629800	105	105
20251212	084800	0.0142351598	0.2913095238	0.0261964368	0	0.1101255708	0.7086904762	0.0439243886	0	-1.00	20.7436633317	104	105
20251212	084815	0.0142346842	0.2913045635	0.0259706917	0	0.1101250951	0.7086954365	0.0430413118	0	-1.00	20.5377915012	103	105
20251212	084830	0.0142342085	0.2912996032	0.0257983880	0	0.1101246195	0.7087003968	0.0419114712	0	-1.00	20.2727888523	101	105
20251212	084845	0.0142337329	0.2912946429	0.0257675391	0	0.1101241438	0.7087053571	0.0417996963	0	-1.00	20.2462206744	101	105
20251212	084900	0.0142332572	0.2912896825	0.0257931987	0	0.1101236682	0.7087103175	0.0418362676	0	-1.00	20.2551244998	102	105
20251212	084915	0.0142327816	0.2912847222	0.0256580623	0	0.1101231925	0.7087152778	0.0419019992	0	-1.00	20.2688547850	101	105
20251212	084930	0.0142323059	0.2912797619	0.0257133131	0	0.1101227169	0.7087202381	0.0418861782	0	-1.00	20.2658462597	101	105
20251212	084945	0.0142318303	0.2912748016	0.0256967180	0	0.1101222412	0.7087251984	0.0419122448	0	-1.00	20.2717558665	101	105
20251212	085000	0.0142313546	0.2912698413	0.0257028694	0	0.1101217656	0.7087301587	0.0420037246	0	-1.00	20.2932565858	102	105
